127.0.0.1 - - [09/Jan/2023:01:32:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:38 +0900] "GET /CODE_GRAPHY/html/index.jsp HTTP/1.1" 200 57445
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:38 +0900] "GET /CODE_GRAPHY/css/media.css HTTP/1.1" 200 5254
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:38 +0900] "GET /CODE_GRAPHY/css/style.css HTTP/1.1" 200 12361
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:38 +0900] "GET /CODE_GRAPHY/js/common.js HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:38 +0900] "GET /CODE_GRAPHY/css/reset.css HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:38 +0900] "GET /CODE_GRAPHY/images/common/main_logo.png HTTP/1.1" 200 7087
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:39 +0900] "GET /CODE_GRAPHY/images/common/main_banner.mp4 HTTP/1.1" 206 9134077
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:39 +0900] "GET /CODE_GRAPHY/images/common/find.svg HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:39 +0900] "GET /CODE_GRAPHY/images/common/w_search.svg HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:39 +0900] "GET /CODE_GRAPHY/images/common/talk_icon.svg HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:32:39 +0900] "GET /CODE_GRAPHY/images/common/arrow-top.svg HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:33:10 +0900] "GET /CODE_GRAPHY/html/index.jsp HTTP/1.1" 200 57445
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:33:14 +0900] "GET /CODE_GRAPHY/html/index.jsp HTTP/1.1" 200 57445
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:35 +0900] "GET /CODE_GRAPHY/html/index.jsp HTTP/1.1" 200 57507
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:35 +0900] "GET /CODE_GRAPHY/images/common/main_banner.mp4 HTTP/1.1" 206 1269757
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:35 +0900] "GET /CODE_GRAPHY/images/common/favicon.ico HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:37 +0900] "GET /CODE_GRAPHY/html/agreement.jsp HTTP/1.1" 200 13321
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:37 +0900] "GET /CODE_GRAPHY/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:37 +0900] "GET /CODE_GRAPHY/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:43 +0900] "GET /CODE_GRAPHY/html/index.jsp HTTP/1.1" 200 57507
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:43 +0900] "GET /CODE_GRAPHY/images/common/main_banner.mp4 HTTP/1.1" 206 9134077
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:49 +0900] "GET /CODE_GRAPHY/html/search.jsp?search=&submit= HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Jan/2023:01:34:52 +0900] "GET /CODE_GRAPHY/html/search.jsp?search=sss&submit= HTTP/1.1" 200 296
